Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/06,Eagle Sonar (Yukon/Canadian Border),Chinook,127,127,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/07,Eagle Sonar (Yukon/Canadian Border),Chinook,181,181,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/08,Eagle Sonar (Yukon/Canadian Border),Chinook,320,320,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/09,Eagle Sonar (Yukon/Canadian Border),Chinook,462,462,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/10,Eagle Sonar (Yukon/Canadian Border),Chinook,581,581,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/11,Eagle Sonar (Yukon/Canadian Border),Chinook,819,819,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/12,Eagle Sonar (Yukon/Canadian Border),Chinook,1172,1172,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/13,Eagle Sonar (Yukon/Canadian Border),Chinook,1210,1210,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/14,Eagle Sonar (Yukon/Canadian Border),Chinook,1566,1566,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/15,Eagle Sonar (Yukon/Canadian Border),Chinook,2030,2030,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/16,Eagle Sonar (Yukon/Canadian Border),Chinook,2882,2882,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/17,Eagle Sonar (Yukon/Canadian Border),Chinook,3500,3500,Single Run
