name,year,doy,mean_swe_kgm2,min_swe_kgm2,max_swe_kgm2,sum_swe_kgm2,count,nodata_count
Tuluksak,2010,92,75.3590637079357,45.310001373291016,156.27999877929688,166618.88985824585,2211,0.0
Oskawalik,2010,92,83.46780849506617,60.290000915527344,127.41000366210938,115018.64010620117,1378,0.0
Anvik,2010,92,74.58647969484576,33.720001220703125,167.7899932861328,359133.8997306824,4815,0.0
Tatchun,2010,92,110.33737668935318,77.86000061035156,269.2200012207031,132073.83989715576,1197,0.0
Wolf,2010,92,102.84150656464114,76.0199966430664,154.30999755859375,408897.8301010132,3976,0.0
Kisaralik,2010,92,78.50513851981697,43.88999938964844,147.5,212513.40997314453,2707,0.0
Klondike,2010,92,82.63163232853276,22.6299991607666,166.02000427246094,710218.879863739,8595,0.0
Unalakleet,2010,92,89.5207140591748,28.190000534057617,199.86000061035156,511521.36013412476,5714,0.0
Salcha,2010,92,64.45449434721027,22.899999618530273,139.13999938964844,398973.32000923157,6190,0.0
McQuesten,2010,92,94.51868337677963,48.91999816894531,162.0,486015.0699234009,5142,0.0
Tatlawiksuk,2010,92,53.99800594836947,37.59000015258789,132.1300048828125,108859.97999191284,2016,0.0
Pitka,2010,92,97.4774346349177,73.54000091552734,156.9199981689453,189983.5201034546,1949,0.0
Chena,2010,92,48.88560167488137,12.90999984741211,92.7300033569336,303872.9000110626,6216,0.0
SouthMacmillan,2010,92,146.85619515266208,55.22999954223633,308.42999267578125,797429.1396789551,5430,0.0
Swift,2010,92,91.70481397025347,38.27000045776367,235.16000366210938,576823.2798728943,6290,0.0
Kwethluk,2010,92,60.53138069998134,39.150001525878906,116.25,213070.46006393433,3520,0.0
LittleSalmon,2010,92,154.77714851157575,71.08000183105469,345.0299987792969,580259.5297698975,3749,0.0
Nisling,2010,92,123.3399533439387,62.220001220703125,259.0400085449219,1110306.2600021362,9002,0.0
Takhini,2010,92,289.3344949596213,92.55000305175781,1481.2099609375,2385562.9109420776,8245,0.0
Takotna,2010,92,76.12664837265142,56.349998474121094,113.30000305175781,458130.1699066162,6018,0.0
Nisutlin,2010,92,130.75869801199318,78.83000183105469,287.8299865722656,446933.2298049927,3418,0.0
EFAndreafsky,2010,92,69.22463164863511,35.459999084472656,131.08999633789062,140941.3500366211,2036,0.0
BigSalmon,2010,92,131.75205231913168,71.83000183105469,323.510009765625,921210.3498153687,6992,0.0
Aniak,2010,92,90.60769969399604,46.880001068115234,158.88999938964844,451407.5598754883,4982,0.0
Ross,2010,92,130.63699494946508,75.0,299.67999267578125,1010738.4299240112,7737,0.0
YukonMainstem,2010,92,173.69110493164345,70.5199966430664,2562.9599609375,16515071.330215454,95083,0.0
Holokuk,2010,92,93.01312178322218,62.15999984741211,132.4499969482422,108453.29999923706,1166,0.0
George,2010,92,68.57286607312155,53.65999984741211,102.2699966430664,251456.69989013672,3667,0.0
Atchuelinguk,2010,92,60.88247230659097,36.619998931884766,164.83999633789062,269404.93995666504,4425,0.0
Teslin,2010,92,148.54138036630005,71.27999877929688,729.780029296875,5327733.6895980835,35867,0.0
Andreafsky,2010,92,62.5601717370291,27.860000610351562,131.08999633789062,356968.33993148804,5706,0.0
Holitna,2010,92,79.61797715555967,50.52000045776367,199.38999938964844,1331929.1398353577,16729,0.0
Goodnews,2011,92,155.6299199128501,29.989999771118164,485.8699951171875,116566.81001472473,749,0.0
Henshaw,2011,92,176.74544856233416,161.88999938964844,211.1699981689453,309127.78953552246,1749,0.0
SFKoyukuk,2011,92,146.68314406158902,128.47999572753906,171.47000122070312,991431.3707122803,6759,0.0
Sheenjek,2011,92,97.81865277867922,40.79999923706055,205.14999389648438,1389024.8694572449,14200,0.0
Teedriinjik,2011,92,95.08079652574843,39.86000061035156,167.3300018310547,2813630.9307899475,29592,0.0
Tozitna,2011,92,153.42657374878993,120.02999877929688,225.74000549316406,704841.6798019409,4594,0.0
Barton,2011,92,100.32555887828926,84.66000366210938,125.95999908447266,35013.62004852295,349,0.0
Gisasa,2011,92,193.28290397671194,142.5,292.82000732421875,271562.4800872803,1405,0.0
SFNulato,2011,92,171.26347941046478,120.01000213623047,249.6199951171875,152595.76015472412,891,0.0
Rodo,2011,92,135.51569691071143,95.79000091552734,206.47000122070312,56374.52991485596,416,0.0
Chatanika,2011,92,104.52683127760126,64.72000122070312,187.72000122070312,605314.8799285889,5791,0.0
Nulato,2011,92,181.231564280442,120.01000213623047,267.5199890136719,442567.47997283936,2442,0.0
Blind,2011,92,142.30917644126743,86.19999694824219,223.3800048828125,72577.67998504639,510,0.0
Goodpaster,2011,92,111.0456552253651,51.70000076293945,243.61000061035156,445737.2600746155,4014,0.0
Kogrukluk,2011,92,130.937314842309,97.06999969482422,241.5,270647.42977905273,2067,0.0
Tuluksak,2011,92,108.76702402943887,60.33000183105469,265.04998779296875,240483.89012908936,2211,0.0
Oskawalik,2011,92,153.2425761395857,114.08000183105469,230.32000732421875,211168.26992034912,1378,0.0
Anvik,2011,92,111.54664800055673,70.98999786376953,234.9499969482422,537097.1101226807,4815,0.0
Tatchun,2011,92,110.15052633516571,82.70999908447266,141.61000061035156,131850.18002319336,1197,0.0
Wolf,2011,92,187.06551045623104,124.19999694824219,371.30999755859375,743772.4695739746,3976,0.0
Kisaralik,2011,92,120.66716662076817,51.849998474121094,267.0400085449219,326646.02004241943,2707,0.0
Klondike,2011,92,92.05480508854252,54.880001068115234,132.6999969482422,791211.049736023,8595,0.0
Unalakleet,2011,92,145.00827969426578,85.04000091552734,261.2300109863281,828577.3101730347,5714,0.0
Salcha,2011,92,91.60646043324509,48.09000015258789,175.52999877929688,567043.9900817871,6190,0.0
McQuesten,2011,92,120.97084011135746,80.62999725341797,331.9800109863281,622032.0598526001,5142,0.0
Tatlawiksuk,2011,92,162.50855661195422,124.33000183105469,221.2100067138672,327617.2501296997,2016,0.0
Pitka,2011,92,180.18894812876044,161.5399932861328,327.0299987792969,351188.2599029541,1949,0.0
Chena,2011,92,92.34609557732345,56.90999984741211,135.35000610351562,574023.3301086426,6216,0.0
SouthMacmillan,2011,92,192.52279746545614,94.6500015258789,366.489990234375,1045398.7902374268,5430,0.0
Swift,2011,92,167.40890147053003,118.3499984741211,403.45001220703125,1053001.9902496338,6290,0.0
Kwethluk,2011,92,82.41846026615663,41.099998474121094,271.8699951171875,290112.98013687134,3520,0.0
LittleSalmon,2011,92,116.41913313317471,71.66999816894531,227.4199981689453,436455.330116272,3749,0.0
Nisling,2011,92,122.88306153591303,77.80000305175781,202.52999877929688,1106193.319946289,9002,0.0
Takhini,2011,92,302.55910860967316,58.88999938964844,2024.739990234375,2494599.8504867554,8245,0.0
Takotna,2011,92,198.40617474561992,166.94000244140625,292.42999267578125,1194008.3596191406,6018,0.0
Nisutlin,2011,92,148.4394089691537,103.73999786376953,251.92999267578125,507365.8998565674,3418,0.0
EFAndreafsky,2011,92,78.70976919462733,35.720001220703125,173.3800048828125,160253.09008026123,2036,0.0
BigSalmon,2011,92,111.44808637741228,68.55000305175781,220.82000732421875,779245.0199508667,6992,0.0
Aniak,2011,92,143.99697519162245,79.97000122070312,282.6199951171875,717392.9304046631,4982,0.0
Ross,2011,92,177.71804446392593,86.30000305175781,360.2699890136719,1375004.510017395,7737,0.0
YukonMainstem,2011,92,213.2123270256752,54.90999984741211,4809.02001953125,20272867.690582275,95083,0.0
Holokuk,2011,92,156.36233275137062,104.04000091552734,255.25999450683594,182318.47998809814,1166,0.0
George,2011,92,171.8068229689857,118.11000061035156,213.97999572753906,630015.6198272705,3667,0.0
Atchuelinguk,2011,92,80.7729875803802,37.29999923706055,199.22000122070312,357420.4700431824,4425,0.0
Teslin,2011,92,208.7858607732253,69.2300033569336,837.7000122070312,7488522.4683532715,35867,0.0
Andreafsky,2011,92,71.44016999091929,25.079999923706055,173.3800048828125,407637.6099681854,5706,0.0
Holitna,2011,92,129.8615332676481,81.11000061035156,299.45001220703125,2172453.590034485,16729,0.0
Goodnews,2012,92,135.79148183295501,89.05999755859375,268.1199951171875,101707.8198928833,749,0.0
Henshaw,2012,92,62.73450547180699,53.369998931884766,73.86000061035156,109722.65007019043,1749,0.0
SFKoyukuk,2012,92,51.65636339792928,32.15999984741211,90.98999786376953,349145.360206604,6759,0.0
Sheenjek,2012,92,46.778095778075745,20.780000686645508,68.86000061035156,664248.9600486755,14200,0.0
Teedriinjik,2012,92,41.55425283714835,20.030000686645508,95.81999969482422,1229673.449956894,29592,0.0
Tozitna,2012,92,87.58521767891538,60.7400016784668,150.4499969482422,402366.49001693726,4594,0.0
Barton,2012,92,100.76266470747896,93.2300033569336,109.0,35166.169982910156,349,0.0
Gisasa,2012,92,74.45193598737072,56.970001220703125,116.19999694824219,104604.97006225586,1405,0.0
SFNulato,2012,92,66.20252515062873,55.13999938964844,98.4000015258789,58986.449909210205,891,0.0
Rodo,2012,92,64.15649040845724,54.4900016784668,77.08000183105469,26689.100009918213,416,0.0
Chatanika,2012,92,108.77001379965253,60.959999084472656,150.6300048828125,629887.1499137878,5791,0.0
Nulato,2012,92,69.126064611399,55.13999938964844,104.98999786376953,168805.84978103638,2442,0.0
Blind,2012,92,169.8937842125986,94.23999786376953,257.4599914550781,86645.8299484253,510,0.0
Goodpaster,2012,92,143.91395613704086,81.44000244140625,247.08999633789062,577670.619934082,4014,0.0
Kogrukluk,2012,92,128.57194955324746,85.16000366210938,235.3800048828125,265758.2197265625,2067,0.0
Tuluksak,2012,92,126.55722298831327,94.61000061035156,260.17999267578125,279818.02002716064,2211,0.0
Oskawalik,2012,92,133.31252541839643,104.13999938964844,221.13999938964844,183704.6600265503,1378,0.0
Anvik,2012,92,73.14900931480146,58.84000015258789,116.69999694824219,352212.47985076904,4815,0.0
Tatchun,2012,92,107.78319141002326,96.06999969482422,129.0800018310547,129016.48011779785,1197,0.0
Wolf,2012,92,171.73117442869804,80.19000244140625,397.6199951171875,682803.1495285034,3976,0.0
Kisaralik,2012,92,155.29810862828322,94.91999816894531,291.6700134277344,420391.9800567627,2707,0.0
Klondike,2012,92,122.37600351525573,76.69999694824219,162.69000244140625,1051821.750213623,8595,0.0
Unalakleet,2012,92,65.35767764197307,24.399999618530273,112.77999877929688,373453.77004623413,5714,0.0
Salcha,2012,92,115.71077061654678,46.5,207.19000244140625,716249.6701164246,6190,0.0
McQuesten,2012,92,127.87113766278891,86.87999725341797,489.3900146484375,657513.3898620605,5142,0.0
Tatlawiksuk,2012,92,106.4255852396526,77.05000305175781,186.6999969482422,214553.97984313965,2016,0.0
Pitka,2012,92,138.35945621840827,108.69999694824219,253.4600067138672,269662.58016967773,1949,0.0
Chena,2012,92,107.8155372771824,66.05000305175781,169.72000122070312,670181.3797149658,6216,0.0
SouthMacmillan,2012,92,204.41915092538514,81.94000244140625,480.8999938964844,1109995.9895248413,5430,0.0
Swift,2012,92,131.22927986593808,66.48999786376953,369.1499938964844,825432.1703567505,6290,0.0
Kwethluk,2012,92,126.67486938780004,82.95999908447266,285.6099853515625,445895.54024505615,3520,0.0
LittleSalmon,2012,92,135.6067244437384,92.87000274658203,286.20001220703125,508389.6099395752,3749,0.0
Nisling,2012,92,85.3341657638126,52.33000183105469,168.16000366210938,768178.1602058411,9002,0.0
Takhini,2012,92,618.2908987680299,86.83999633789062,2434.780029296875,5097808.460342407,8245,0.0
Takotna,2012,92,116.29321865260542,98.18000030517578,184.52999877929688,699852.5898513794,6018,0.0
Nisutlin,2012,92,192.20951138134237,119.19000244140625,333.8500061035156,656972.1099014282,3418,0.0
